PROBEID	ENTREZ	SYMBOL
ILMN_2347622	84675	TRIM55
ILMN_2051373	4751	NEK2
ILMN_2337974	5569	PKIA
ILMN_1673769	3755	KCNG1
ILMN_1748844	154043	CNKSR3
ILMN_1754489	84961	FBXL20
ILMN_2054019	9636	ISG15
ILMN_1703178	7857	SCG2
ILMN_1763491	1159	CKMT1B
ILMN_2347798	2537	IFI6
ILMN_2343097	83988	NCALD
ILMN_1681526	6523	SLC5A1
ILMN_1708130	26298	EHF
ILMN_1726448	4312	MMP1
ILMN_2246083	221960	CCZ1B
ILMN_1668194	114783	LMTK3
ILMN_2050959	338821	SLCO1B7
ILMN_1704537	26227	PHGDH
ILMN_1787292	166979	CDC20B
ILMN_2185911	1472	CST4
ILMN_1813561	85477	SCIN
ILMN_1794595	2593	GAMT
ILMN_1722056	540	ATP7B
ILMN_1701424	3918	LAMC2
ILMN_1703855	6317	SERPINB3
ILMN_2366212	974	CD79B
ILMN_1801257	1058	CENPA
ILMN_1717261	3125	HLA-DRB3
ILMN_2331082	58475	MS4A7
ILMN_2173611	4493	MT1E
ILMN_1743145	64167	ERAP2
ILMN_1715647	57216	VANGL2
ILMN_1662174	94103	ORMDL3
ILMN_1798108	79624	C6orf211
ILMN_1676504	388394	RPRML
ILMN_2059452	6558	SLC12A2
ILMN_2061435	55384	MEG3
ILMN_2167758	8483	CILP
ILMN_1792689	8334	HIST1H2AC
ILMN_1728803	51617	HMP19
ILMN_1758731	1573	CYP2J2
ILMN_1683450	113130	CDCA5
ILMN_2207504	3952	LEP
ILMN_2380938	9066	SYT7
ILMN_1670899	2201	FBN2
ILMN_1801303	279	AMY2A
ILMN_1721729	5469	MED1
ILMN_1651745	84866	TMEM25
ILMN_1777233	1870	E2F2
ILMN_1718182	7067	THRA
ILMN_1813206	1356	CP
ILMN_1664516	1063	CENPF
ILMN_1758623	3017	HIST1H2BD
ILMN_1743095	115948	CCDC151
ILMN_1873278	728215	FAM155A
ILMN_1721868	3838	KPNA2
ILMN_1659312	5376	PMP22
ILMN_1714067	4915	NTRK2
ILMN_1811110	122402	TDRD9
ILMN_2202948	699	BUB1
ILMN_1790692	10578	GNLY
ILMN_1674782	375295	LOC375295
